[2026-05-06 09:17:21,576] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.65
[2026-05-06 09:17:21,578] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:17:31,921] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.73
[2026-05-06 09:17:31,921] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:17:42,274] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.77
[2026-05-06 09:17:42,274] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:17:52,590] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.45 | VEL: 0.89
[2026-05-06 09:17:52,590] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:18:02,924] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.76
[2026-05-06 09:18:02,924] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:18:13,317] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.73
[2026-05-06 09:18:13,317] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:18:23,674] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.76
[2026-05-06 09:18:23,674] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:18:34,033] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.76
[2026-05-06 09:18:34,033] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:18:44,385] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.76
[2026-05-06 09:18:44,385] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:18:54,731] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.66
[2026-05-06 09:18:54,731] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:19:05,051] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.76
[2026-05-06 09:19:05,051] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:19:15,428] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.71
[2026-05-06 09:19:15,428] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:19:25,744] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.71
[2026-05-06 09:19:25,746] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:19:36,060] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.71
[2026-05-06 09:19:36,060] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:19:46,384] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.71
[2026-05-06 09:19:46,384] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:19:56,732] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.71
[2026-05-06 09:19:56,734] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:20:07,060] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.71
[2026-05-06 09:20:07,060] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:20:17,376] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.69
[2026-05-06 09:20:17,376] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:20:27,680] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.69
[2026-05-06 09:20:27,680] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:20:38,019] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.69
[2026-05-06 09:20:38,019] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:20:48,379] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.69
[2026-05-06 09:20:48,379] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:20:58,698] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.64
[2026-05-06 09:20:58,698] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:21:09,046] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.46
[2026-05-06 09:21:09,046] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:21:19,403] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.52
[2026-05-06 09:21:19,403] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:21:29,763] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.62
[2026-05-06 09:21:29,763] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:21:40,136] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.66
[2026-05-06 09:21:40,136] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:21:50,503] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.44 | VEL: 0.64
[2026-05-06 09:21:50,503] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:22:00,826] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.55
[2026-05-06 09:22:00,826] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:22:11,144] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.52
[2026-05-06 09:22:11,144] INFO:  >> [GUARD] EURUSD position already active. Skipping.
